"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","Source_file","F_OOB","F_OOS","F_MAD"
"SWH","SWAMP","2024-12-25 22:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-25 22:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-25 23:00:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-25 23:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-25 23:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-25 23:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 00:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 00:15:00","AquaTROLL600","A",,,-368.4,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 00:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 00:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 01:00:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 01:15:00","AquaTROLL600","A",,,-368.4,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 01:30:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 01:45:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 02:00:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 02:15:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 02:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 02:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 03:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 03:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 03:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 03:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 04:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 04:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 04:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 04:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 05:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 05:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 05:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 05:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 06:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 06:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 06:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 06:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 07:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 07:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 07:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 07:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 08:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 08:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 08:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 08:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 09:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 09:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 09:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 09:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 10:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 10:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 10:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 10:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 11:00:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 11:15:00","AquaTROLL600","A",,,-367.7,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 11:30:00","AquaTROLL600","A",,,-367.7,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 11:45:00","AquaTROLL600","A",,,-367.8,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 12:00:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 12:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 12:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 12:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 13:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 13:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 13:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 13:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 14:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 14:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 14:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 14:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 15:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 15:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 15:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 15:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 16:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 16:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 16:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 16:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 17:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 17:15:00","AquaTROLL600","A",,,-367.8,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 17:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 17:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 18:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 18:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 18:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 18:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 19:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 19:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 19:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 19:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 20:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 20:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 20:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 20:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 21:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 21:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 21:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 21:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 22:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 22:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 22:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 22:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 23:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 23:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 23:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-26 23:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 00:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 00:15:00","AquaTROLL600","A",,,-368.4,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 00:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 00:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 01:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 01:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 01:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 01:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 02:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 02:15:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 02:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 02:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 03:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 03:15:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 03:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 03:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 04:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 04:15:00","AquaTROLL600","A",,,-368.4,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 04:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 04:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 05:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 05:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 05:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 05:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 06:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 06:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 06:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 06:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 07:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 07:15:00","AquaTROLL600","A",,,-367.8,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 07:30:00","AquaTROLL600","A",,,-367.8,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 07:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 08:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 08:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 08:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 08:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 09:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 09:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 09:30:00","AquaTROLL600","A",,,-367.8,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 09:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 10:00:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 10:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 10:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 10:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 11:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 11:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 11:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 11:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 12:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 12:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 12:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 12:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 13:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 13:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 13:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 13:45:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 14:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 14:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 14:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 14:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 15:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 15:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 15:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 15:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 16:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 16:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 16:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 16:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 17:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 17:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 17:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 17:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 18:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 18:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 18:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 18:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 19:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 19:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 19:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 19:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 20:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 20:15:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 20:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 20:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 21:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 21:15:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 21:30:00","AquaTROLL600","A",,,-367.9,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 21:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 22:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 22:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 22:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 22:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 23:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 23:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 23:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-27 23:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 00:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 00:15:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 00:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 00:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 01:00:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 01:15:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 01:30:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 01:45:00","AquaTROLL600","A",,,-368,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 02:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 02:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 02:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 02:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 03:00:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 03:15:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 03:30:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 03:45:00","AquaTROLL600","A",,,-368.1,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 04:00:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 04:15:00","AquaTROLL600","A",,,-368.4,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 04:30:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 04:45:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 05:00:00","AquaTROLL600","A",,,-368.2,"gw-ph-orp","b23be1c3",0,0,
"SWH","SWAMP","2024-12-28 05:15:00","AquaTROLL600","A",,,-368.3,"gw-ph-orp","b23be1c3",0,0,
